phsyical_coordinate,type,path,loc_name,sqm,is_day_job
"(-37.80430684947189, 145.17427133145597)",video,4_485.0-487.5.mp4,Springvale Road On-Ramp,50+paint,1
"(-37.80330290371694, 145.167931528454)",video,4_513.0-516.5.mp4,Travel Times Sign + Wall,30+paint,1
"(-37.80157235293802, 145.1599225841392)",video,4_543.0-547.0.mp4,Blackburn Road,90+paint,1
"(-37.80067426660364, 145.15228220571618)",video,4_575.0-578.0.mp4,VMS Sign + Wall,50+paint,1
"(-37.80023769173356, 145.14937022023588)",video,4_584.0-585.0.mp4,Misc Wall,40+paint,1
"(-37.79794087615337, 145.13529829332467)",video,4_639.85-639.851.mp4,Eram Road Wall,25+paint,1
"(-37.797557620627295, 145.130998596777)",video,4_649.0-651.0.mp4,Tram Road Off-Ramp,50+paint,1
"(-37.796375136545485, 145.1186709025542)",video,4_704.5-704.501.mp4,Elgar Road Bridge,20+paint,1
"(-37.79481191587888, 145.1111314037463)",video,4_733.0-740.0.mp4,Elgar Road On-Ramp,70+paint,1
"(-37.7919669034768, 145.10643279884764)",video,4_757.0-760.0.mp4,Curved Perspex,120+paint,1
"(-37.78031085018635, 145.08024866875155)",video,4_828.0-831.0.mp4,Bulleen Road Off-Ramp,40+paint,1
"(-37.781976907954764, 145.07513374911784)",video,4_846.0-854.0.mp4,Golf Course Access Bridge,3+Clean 6+Paint,1
"(-37.7835165040202, 145.07204422860542)",video,4_862.0-863.0.mp4,Orion Street Fence,20+Paint,1
"(-37.79087270760023, 145.04355118958586)",video,4_882.0-884.0.mp4,Kilby Road Fence,25+Paint,1
"(-37.79135744786632, 145.02050749649325)",video,4_904.0-906.0.mp4,Yarra Blvd Abutment,40+Paint,1
"(-37.79598566285253, 144.99818341618067)",video,4_988.0-1000.0.mp4,Hoddle Street Off-Ramp,400+Paint,1
"(-37.79538155166497, 144.99255673373767)",video,4_1006.0-1029.0.mp4,Alexandra Parade,800+Paint,1
