phsyical_coordinate,type,path,loc_name,sqm,is_day_job
"(-37.795089, 144.997464)",video,1_0.0-3.5.mp4,Timber Fence and Footbridge,25+paint,1
"(-37.79505546480804, 145.0007712994052)",video,1_18.3-24.0.mp4,Merri Creek Perspex,60+paint 40+clean,1
"(-37.790808540590426, 145.01673487452152)",video,2_0.0-1.0.mp4,Gantry,28+paint 9+clean,0
"(-37.79088371646998, 145.02019737286668)",video,4_2.0-3.0.mp4,Yarra Blvd Bridge,40+paint,1
"(-37.79101574121566, 145.02808137807503)",video,4_14.0-15.0.mp4,Chandler Hwy Bridge Pier,18+paint,1
"(-37.79049376699086, 145.04561960346632)",video,4_26.0-27.8.mp4,Timber Sound Fence,60+paint,1
"(-37.790725772718574, 145.04831103522284)",video,4_36.3-37.0.mp4,Belfort Road Abutment,20+paint,1
"(-37.7797091591358, 145.08611836427315)",video,4_80.2-84.0.mp4,Bulleen Road On-Ramp Walls,140+paint,1
"(-37.77931668157151, 145.0928042960661)",video,4_104.0-107.0.mp4,Estelle Street Sound Fence,80+paint,1
"(-37.79115940653104, 145.10631627923735)",video,4_185.0-189.0.mp4,Doncaster Road On-Ramp,400+paint,1
"(-37.794842088116404, 145.11317051341794)",video,4_216.0-219.0.mp4,Elgar Road Ledge,100+paint,1
"(-37.79766653623136, 145.13681807735244)",video,4_303.8-306.0.mp4,Middleborough Road Off-Ramp,30+paint,1
"(-37.79884337131002, 145.14562540326148)",video,4_335.0-336.0.mp4,Middleborough Road On-Ramp,60+paint,1
"(-37.799999735719624, 145.15069424749095)",video,4_353.0-354.0.mp4,Leed Street Sound Wall,15+paint 1+removal,1
"(-37.803617783061746, 145.1723000736667)",video,4_440.0-449.0.mp4,Kett Street Footbridge + Sound Wall,65+paint,1
